H,I,S,D,M,date,country
0,0,0,146,1098,2021-07-28,Japan
0,0,0,27,372,2021-07-29,Afghanistan
0,0,0,7,96,2021-07-29,Sweden
0,0,0,146,1098,2021-07-29,Japan
0,0,0,27,372,2021-07-30,Afghanistan
0,0,0,7,96,2021-07-30,Sweden
0,0,0,146,1098,2021-07-30,Japan
0,0,0,27,372,2021-07-31,Afghanistan
0,0,0,7,96,2021-07-31,Sweden
0,0,0,146,1098,2021-07-31,Japan
0,0,0,27,372,2021-08-01,Afghanistan
0,0,0,7,96,2021-08-01,Sweden
0,0,0,146,1098,2021-08-01,Japan
0,0,0,27,372,2021-08-02,Afghanistan
0,0,0,7,96,2021-08-02,Sweden
0,0,0,146,1098,2021-08-02,Japan
33,0,0,27,339,2021-08-03,Afghanistan
17,0,0,7,79,2021-08-03,Sweden
169,0,0,146,929,2021-08-03,Japan
68,8,0,27,296,2021-08-04,Afghanistan
26,4,0,7,66,2021-08-04,Sweden
233,49,0,146,816,2021-08-04,Japan
79,22,0,27,271,2021-08-05,Afghanistan
30,9,0,7,57,2021-08-05,Sweden
247,119,0,146,732,2021-08-05,Japan
80,40,0,27,252,2021-08-06,Afghanistan
31,15,0,7,50,2021-08-06,Sweden
244,196,0,146,658,2021-08-06,Japan
77,57,0,27,238,2021-08-07,Afghanistan
28,21,0,7,47,2021-08-07,Sweden
221,262,0,146,615,2021-08-07,Japan
70,67,3,27,232,2021-08-08,Afghanistan
22,23,2,7,49,2021-08-08,Sweden
195,274,26,146,603,2021-08-08,Japan
70,61,8,27,233,2021-08-09,Afghanistan
22,21,3,7,50,2021-08-09,Sweden
185,247,63,146,603,2021-08-09,Japan
72,51,17,27,232,2021-08-10,Afghanistan
13,24,6,7,53,2021-08-10,Sweden
151,222,96,146,629,2021-08-10,Japan
64,48,26,27,234,2021-08-11,Afghanistan
14,19,10,7,53,2021-08-11,Sweden
127,195,136,146,640,2021-08-11,Japan
60,39,37,27,236,2021-08-12,Afghanistan
13,15,14,7,54,2021-08-12,Sweden
112,164,169,146,653,2021-08-12,Japan
57,37,40,27,238,2021-08-13,Afghanistan
12,14,15,7,55,2021-08-13,Sweden
95,143,194,146,666,2021-08-13,Japan
52,36,45,27,239,2021-08-14,Afghanistan
10,7,18,7,61,2021-08-14,Sweden
80,109,222,146,687,2021-08-14,Japan
49,27,53,27,243,2021-08-15,Afghanistan
8,8,18,7,62,2021-08-15,Sweden
62,91,244,146,701,2021-08-15,Japan
44,23,58,27,247,2021-08-16,Afghanistan
5,9,19,7,63,2021-08-16,Sweden
55,72,260,146,711,2021-08-16,Japan
81,20,63,27,208,2021-08-17,Afghanistan
15,7,19,7,55,2021-08-17,Sweden
165,62,269,146,602,2021-08-17,Japan
89,31,68,27,184,2021-08-18,Afghanistan
14,12,20,7,50,2021-08-18,Sweden
236,74,280,146,508,2021-08-18,Japan
97,45,70,27,160,2021-08-19,Afghanistan
10,15,20,7,51,2021-08-19,Sweden
242,101,291,146,464,2021-08-19,Japan
91,57,72,27,152,2021-08-20,Afghanistan
15,14,22,7,45,2021-08-20,Sweden
218,156,295,146,429,2021-08-20,Japan
84,74,73,27,141,2021-08-21,Afghanistan
17,16,22,7,41,2021-08-21,Sweden
199,199,304,146,396,2021-08-21,Japan
77,70,77,27,148,2021-08-22,Afghanistan
15,13,23,8,44,2021-08-22,Sweden
176,214,292,155,407,2021-08-22,Japan
80,62,80,28,149,2021-08-23,Afghanistan
9,15,24,8,47,2021-08-23,Sweden
155,205,281,161,442,2021-08-23,Japan
69,62,80,28,160,2021-08-24,Afghanistan
8,15,22,9,49,2021-08-24,Sweden
127,176,273,174,494,2021-08-24,Japan
60,56,82,29,172,2021-08-25,Afghanistan
9,14,20,12,48,2021-08-25,Sweden
110,150,259,187,538,2021-08-25,Japan
51,52,77,29,190,2021-08-26,Afghanistan
9,11,17,13,53,2021-08-26,Sweden
98,129,249,197,571,2021-08-26,Japan
40,55,80,30,194,2021-08-27,Afghanistan
7,6,21,13,56,2021-08-27,Sweden
89,108,248,203,596,2021-08-27,Japan
34,47,81,31,206,2021-08-28,Afghanistan
6,6,19,14,58,2021-08-28,Sweden
81,89,239,210,625,2021-08-28,Japan
33,38,79,32,217,2021-08-29,Afghanistan
6,6,20,14,57,2021-08-29,Sweden
70,74,233,213,654,2021-08-29,Japan
30,34,80,32,223,2021-08-30,Afghanistan
5,7,20,14,57,2021-08-30,Sweden
63,61,231,216,673,2021-08-30,Japan
27,26,80,32,234,2021-08-31,Afghanistan
4,6,22,14,57,2021-08-31,Sweden
55,54,231,217,687,2021-08-31,Japan
26,20,78,33,242,2021-09-01,Afghanistan
2,6,23,14,58,2021-09-01,Sweden
55,40,227,218,704,2021-09-01,Japan
24,19,77,33,246,2021-09-02,Afghanistan
2,5,23,14,59,2021-09-02,Sweden
45,37,220,221,721,2021-09-02,Japan
25,15,80,33,246,2021-09-03,Afghanistan
1,4,21,15,62,2021-09-03,Sweden
41,30,219,222,732,2021-09-03,Japan
25,13,81,33,247,2021-09-04,Afghanistan
1,3,22,15,62,2021-09-04,Sweden
37,24,216,223,744,2021-09-04,Japan
25,11,76,34,253,2021-09-05,Afghanistan
1,1,19,15,67,2021-09-05,Sweden
33,27,202,225,757,2021-09-05,Japan
24,8,69,35,263,2021-09-06,Afghanistan
1,1,17,16,68,2021-09-06,Sweden
30,19,183,230,782,2021-09-06,Japan
21,10,61,36,271,2021-09-07,Afghanistan
0,1,16,17,69,2021-09-07,Sweden
33,15,159,236,801,2021-09-07,Japan
22,8,53,38,278,2021-09-08,Afghanistan
0,1,14,17,71,2021-09-08,Sweden
31,13,137,240,823,2021-09-08,Japan
23,10,47,38,281,2021-09-09,Afghanistan
0,1,13,18,71,2021-09-09,Sweden
31,8,116,243,846,2021-09-09,Japan
24,10,42,39,284,2021-09-10,Afghanistan
0,1,8,18,76,2021-09-10,Sweden
30,8,92,246,868,2021-09-10,Japan
22,9,38,40,290,2021-09-11,Afghanistan
1,0,7,18,77,2021-09-11,Sweden
28,11,73,251,881,2021-09-11,Japan
19,10,33,40,297,2021-09-12,Afghanistan
1,0,6,18,78,2021-09-12,Sweden
26,10,58,254,896,2021-09-12,Japan
17,10,29,41,302,2021-09-13,Afghanistan
1,0,5,18,79,2021-09-13,Sweden
27,8,44,256,909,2021-09-13,Japan
16,10,25,41,307,2021-09-14,Afghanistan
1,0,3,18,81,2021-09-14,Sweden
25,8,37,259,915,2021-09-14,Japan
13,10,24,41,311,2021-09-15,Afghanistan
2,0,1,18,82,2021-09-15,Sweden
22,8,31,263,920,2021-09-15,Japan
11,9,23,41,315,2021-09-16,Afghanistan
1,1,1,18,82,2021-09-16,Sweden
23,6,28,265,922,2021-09-16,Japan
9,8,19,41,322,2021-09-17,Afghanistan
1,1,1,18,82,2021-09-17,Sweden
22,9,25,267,921,2021-09-17,Japan
7,9,18,41,324,2021-09-18,Afghanistan
1,1,0,18,83,2021-09-18,Sweden
18,10,20,269,927,2021-09-18,Japan
6,7,17,41,328,2021-09-19,Afghanistan
1,1,0,18,83,2021-09-19,Sweden
17,8,22,269,928,2021-09-19,Japan
6,5,17,41,330,2021-09-20,Afghanistan
1,0,0,18,84,2021-09-20,Sweden
16,9,15,269,935,2021-09-20,Japan
6,3,17,41,332,2021-09-21,Afghanistan
1,0,0,18,84,2021-09-21,Sweden
17,6,16,269,936,2021-09-21,Japan
6,1,15,41,336,2021-09-22,Afghanistan
1,0,0,18,84,2021-09-22,Sweden
15,4,13,270,942,2021-09-22,Japan
6,0,15,41,337,2021-09-23,Afghanistan
1,0,0,18,84,2021-09-23,Sweden
15,3,11,270,945,2021-09-23,Japan
6,0,14,41,338,2021-09-24,Afghanistan
1,0,0,18,84,2021-09-24,Sweden
